,,VD002,VD003,VD004,VD005,VD006,VD007,VD008,VD010,VD011,VD012,VD013,VD014,VD015,VD016,VD017,VD018,VD019,VD020,VD021,VD022,VD023,VD024,VD025,VD026,VD027,VD028,VD029,VD030,VD031,VD032,VD033,VD034,VD035,VD036,VD037,VD038,VD039,VD040,VD041,VD042,VD043,VD044,VD045,VD046,VD047,VD048,VD049,VD050,VD051,VD052,VD053,VD054,VD055,VD056,VD057,VD058,VD059,VD060,VD061,VD062,VD063,VD064,VD065,VD067,VD068,VD069,VD070,VD071,VD072,VD073,VD074,VD075,VD076,VD077,VD079,VD080,VD081,VD082,VD083,VD084,VD085,VD086,VD087,VD088,VD089,VD090,VD091,VD092,VD093,VD094,VD095,VD096,VD097,VD098,VD099,VD100,VD101,VD102,VD103,VD104,VD105
GEO.id,GEO.display-label,RECORD CODES,RECORD CODES,RECORD CODES,RECORD CODES,RECORD CODES,RECORD CODES,RECORD CODES,GEOGRAPHIC AREA CODES,GEOGRAPHIC AREA CODES,GEOGRAPHIC AREA CODES,GEOGRAPHIC AREA CODES,GEOGRAPHIC AREA CODES,GEOGRAPHIC AREA CODES,GEOGRAPHIC AREA CODES,GEOGRAPHIC AREA CODES,GEOGRAPHIC AREA CODES,GEOGRAPHIC AREA CODES,GEOGRAPHIC AREA CODES,GEOGRAPHIC AREA CODES,GEOGRAPHIC AREA CODES,GEOGRAPHIC AREA CODES,GEOGRAPHIC AREA CODES,GEOGRAPHIC AREA CODES,GEOGRAPHIC AREA CODES,GEOGRAPHIC AREA CODES,GEOGRAPHIC AREA CODES,GEOGRAPHIC AREA CODES,GEOGRAPHIC AREA CODES,GEOGRAPHIC AREA CODES,GEOGRAPHIC AREA CODES,GEOGRAPHIC AREA CODES,GEOGRAPHIC AREA CODES,GEOGRAPHIC AREA CODES,GEOGRAPHIC AREA CODES,GEOGRAPHIC AREA CODES,GEOGRAPHIC AREA CODES,GEOGRAPHIC AREA CODES,GEOGRAPHIC AREA CODES,GEOGRAPHIC AREA CODES,GEOGRAPHIC AREA CODES,GEOGRAPHIC AREA CODES,GEOGRAPHIC AREA CODES,GEOGRAPHIC AREA CODES,GEOGRAPHIC AREA CODES,GEOGRAPHIC AREA CODES,GEOGRAPHIC AREA CODES,GEOGRAPHIC AREA CODES,GEOGRAPHIC AREA CODES,GEOGRAPHIC AREA CODES,GEOGRAPHIC AREA CODES,GEOGRAPHIC AREA CODES,GEOGRAPHIC AREA CODES,GEOGRAPHIC AREA CODES,GEOGRAPHIC AREA CODES,GEOGRAPHIC AREA CODES,GEOGRAPHIC AREA CODES,GEOGRAPHIC AREA CODES,GEOGRAPHIC AREA CODES,GEOGRAPHIC AREA CODES,GEOGRAPHIC AREA CODES,GEOGRAPHIC AREA CODES,GEOGRAPHIC AREA CODES,GEOGRAPHIC AREA CODES,AREA CHARACTERISTICS,AREA CHARACTERISTICS,AREA CHARACTERISTICS,AREA CHARACTERISTICS,AREA CHARACTERISTICS,AREA CHARACTERISTICS,AREA CHARACTERISTICS,AREA CHARACTERISTICS,AREA CHARACTERISTICS,AREA CHARACTERISTICS,AREA CHARACTERISTICS,SPECIAL AREA CODES,SPECIAL AREA CODES,SPECIAL AREA CODES,SPECIAL AREA CODES,SPECIAL AREA CODES,SPECIAL AREA CODES,SPECIAL AREA CODES,SPECIAL AREA CODES,SPECIAL AREA CODES,SPECIAL AREA CODES,SPECIAL AREA CODES,SPECIAL AREA CODES,SPECIAL AREA CODES,SPECIAL AREA CODES,SPECIAL AREA CODES,SPECIAL AREA CODES,SPECIAL AREA CODES,SPECIAL AREA CODES,SPECIAL AREA CODES,SPECIAL AREA CODES,SPECIAL AREA CODES,SPECIAL AREA CODES,SPECIAL AREA CODES,SPECIAL AREA CODES,SPECIAL AREA CODES,SPECIAL AREA CODES,SPECIAL AREA CODES
Id,GEO,File Identification,State/US-Abbreviation (USPS),Summary Level,Geographic Component,Characteristic Iteration,Characteristic Iteration File Sequence Number,Logical Record Number,Region,Division,State (FIPS),County,FIPS County Class Code,County Size Code,County Subdivision (FIPS),FIPS County Subdivision Class Code,County Subdivision Size Code,Place (FIPS),FIPS Place Class Code,Place Size Code,Census Tract,Block Group,Block,Internal Use Code,Consolidated City (FIPS),FIPS Consolidated City Class Code,Consolidated City Size Code,American Indian Area/Alaska Native Area/Hawaiian Home Land (Census),American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS),FIPS American Indian Area/Alaska Native Area/Hawaiian Home Land Class Code,American Indian Trust Land/Hawaiian Home Land Indicator,American Indian Tribal Subdivision (Census),American Indian Tribal Subdivision (FIPS),FIPS American Indian Tribal Subdivision Class Code,Tribal Census Tract,Tribal Block Group,Alaska Native Regional Corporation (FIPS),FIPS Alaska Native Regional Corporation Class Code,Metropolitan Statistical Area/Micropolitan Statistical Area,Metropolitan Statistical Area/Micropolitan Statistical Area Size Code,Metropolitan Division,Combined Statistical Area,New England City and Town Area,New England City and Town Area Size Code,New England City and Town Area Division,Combined New England City and Town Area,Metropolitan Statistical Area/Micropolitan Statistical Area Principal City Indicator,New England City and Town Area Principal City Indicator,Urban Area,Urban Area Size Code,Urban Area Type,Urban/Rural,Congressional District (111th),State Legislative District (Upper Chamber) (Year 1),State Legislative District (Lower Chamber) (Year 1),Voting District,Voting District Indicator,Reserved,ZIP Code Tabulation Area (5 digit),Subminor Civil Division (FIPS),FIPS Subminor Civil Division Class Code,School District (Elementary),School District (Secondary),School District (Unified),Area (Land),Area (Water),Area Name-Legal/Statistical Area Description (LSAD) Term-Part Indicator,Functional Status Code,Geographic Change User Note Indicator,Population Count (100%),Housing Unit Count (100%),Internal Point (Latitude),Internal Point (Longitude),Legal/Statistical Area Description Code,Part Flag,Reserved,Urban Growth Area,State (ANSI),County (ANSI),County Subdivision (ANSI),Place (ANSI),Consolidated City (ANSI),American Indian Area/Alaska Native Area/Hawaiian Home Land (ANSI),American Indian Tribal Subdivision (ANSI),Alaska Native Regional Corporation (ANSI),Subminor Civil Division (ANSI),Congressional District (113th),Congressional District (114th),Congressional District (115th),State Legislative District (Upper Chamber) (Year 2),State Legislative District (Upper Chamber) (Year 3),State Legislative District (Upper Chamber) (Year 4),State Legislative District (Lower Chamber) (Year 2),State Legislative District (Lower Chamber) (Year 3),State Legislative District (Lower Chamber) (Year 4),American Indian Area/Alaska Native Area/Hawaiian Home Land Size Code,Combined Statistical Area Size Code,Combined NECTA Size Code,Metropolitan Micropolitan Indicator,NECTA Metropolitan Micropolitan Indicator,Public Use Microdata Area,Reserved
1600000US4502080,"Arcadia CDP, South Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600000US4507345,"Boiling Springs CDP, South Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600000US4511125,"Campobello town, South Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600000US4513060,"Central Pacolet town, South Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600000US4514050,"Chesnee city, South Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600000US4515220,"Clifton CDP, South Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600000US4516360,"Converse CDP, South Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600000US4517260,"Cowpens town, South Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600000US4517845,"Cross Anchor CDP, South Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600000US4521265,"Duncan town, South Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600000US4523605,"Enoree CDP, South Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600000US4524505,"Fairforest CDP, South Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600000US4525360,"Fingerville CDP, South Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600000US4529275,"Glendale CDP, South Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600000US4530220,"Gramling CDP, South Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600000US4530985,"Greer city, South Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600000US4535755,"Inman city, South Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600000US4535800,"Inman Mills CDP, South Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600000US4540075,"Landrum city, South Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600000US4543315,"Lyman town, South Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600000US4545430,"Mayo CDP, South Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600000US4553845,"Pacolet town, South Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600000US4559425,"Reidville town, South Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600000US4561720,"Roebuck CDP, South Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600000US4564240,"Saxon CDP, South Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600000US4567750,"Southern Shops CDP, South Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600000US4568290,"Spartanburg city, South Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600000US4568920,"Startex CDP, South Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600000US4573465,"Valley Falls CDP, South Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600000US4575580,"Wellford city, South Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600000US4579090,"Woodruff city, South Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
